Jugador	PG	09/06/2025		26/05/2025		12/05/2025		28/04/2025		14/04/2025
Gita	11,7	79	6,75	87	7,44	88	7,52	89	7,61	85	7,26
Maath JTM Faselli	10,7	84	7,85	85	7,94	84	7,85	81	7,57	81	7,57
PequeñoPadawan	11,1	84	7,57	81	7,30	83	7,48	80	7,21
Ben	10,1	72	7,13	72	7,13	72	7,13	72	7,13	69	6,83
Blas	10,3	76	7,38	64	6,21	77	7,48	73	7,09	61	5,92
josmartini	10,9	64	5,87	45	4,13	76	6,97	75	6,88	74	6,79
Mariskal101DA	10,2	73	7,16	46	4,51	61	5,98	69	6,76	60	5,88
Viula Dourshe	10,5	72	6,86	74	7,05	72	6,86	71	6,76	70	6,67
Oldboy	9,5	63	6,63	63	6,63	62	6,53	63	6,63	61	6,42
Cal Kestis	10,3	70	6,80	73	7,09	70	6,80	68	6,60	60	5,83
JediSevillano	9,4	62	6,60	65	6,91	64	6,81	62	6,60	61	6,49
Mou topor	10,3	70	6,80	55	5,34	69	6,70	67	6,50	67	6,50
R3CO	10,3	57	5,53	55	5,34	58	5,63	65	6,31	45	4,37
Darkguderian	7	39	5,57	48	6,86	45	6,43	44	6,29	44	6,29
GRANJEDI Tito1	9,9	74	7,47	54	5,45	63	6,36	62	6,26	62	6,26
Lucas Escaivazquez	9,5	40	4,21	48	5,05	31	3,26	59	6,21	38	4,00
Dark imdroc	8,4	44	5,24	52	6,19	52	6,19	52	6,19	26	3,10
Aguilet	4,2	23	5,48	35	8,33	33	7,86	26	6,19
Bald Dart	8,1	50	6,17	50	6,17	50	6,17	49	6,05	49	6,05
Kairas	6,8	35	5,15	42	6,18	42	6,18	41	6,03	41	6,03
Mik Bat	11,3	59	5,22	58	5,13	71	6,28	68	6,02	56	4,96
Hill	10,5	54	5,14	42	4,00	65	6,19	63	6,00	63	6,00
Pas Pain	8,5	26	3,06	35	4,12	54	6,35	51	6,00	42	4,94
Dace Joy	7,5	46	6,13	45	6,00	45	6,00	45	6,00	45	6,00
Cente	10,2	58	5,69	70	6,86	71	6,96	55	5,39	52	5,10
Dass Jenir	7,4	40	5,41	32	4,32	49	6,62	39	5,27	46	6,22
Mhann Uhdea	10,3	67	6,50	44	4,27	55	5,34	54	5,24	54	5,24
PaulSkywalker95	7,9	49	6,20	49	6,20	40	5,06	40	5,06	39	4,94
Marblagar	8,7	29	3,33	28	3,22	53	6,09	44	5,06	55	6,32
Dante	9,1	0	0,00	56	6,15	55	6,04	46	5,05	46	5,05
MALAGA	11,5	48	4,17	71	6,17	62	5,39	58	5,04	58	5,04
JokerVerde	9,2	63	6,85	52	5,65	47	5,11	40	4,35	41	4,46
Nakillo	9,7	43	4,43	54	5,57	43	4,43	41	4,23	51	5,26
Mol Eliza	9	19	2,11	19	2,11	18	2,00	38	4,22	37	4,11
Temnyy	7,7	41	5,32	33	4,29	48	6,23	32	4,16	33	4,29
Josepatches	10,6	57	5,38	54	5,09	53	5,00	43	4,06	21	1,98
Cerilio	8,9	36	4,04	27	3,03	36	4,04	36	4,04	28	3,15
VIRUS	10,2	41	4,02	52	5,10	50	4,90	41	4,02	40	3,92
wSS DE	8,9	54	6,07	36	4,04	36	4,04	35	3,93	45	5,06
Peleas	9,8	21	2,14	34	3,47	43	4,39	38	3,88	53	5,41
Varon John Eden	8,8	10	1,14	36	4,09	36	4,09	26	2,95	26	2,95
cafre	8,7	19	2,18	18	2,07	24	2,76	20	2,30	12	1,38
Khando	6,9	21	3,04	28	4,06	28	4,06	14	2,03	20	2,90
Remus	10,1	67	6,63	65	6,44	65	6,44	12	1,19	10	0,99
Halcon 39	8	40	5,00	16	2,00	40	5,00	8	1,00	40	5,00
Charly	5,9	21	3,56	21	3,56	27	4,58	0	0,00	35	5,93
ALEX TANO	7,3	23	3,15	39	5,34	39	5,34
MALAGA 2	10,3	31	3,01	51	4,95
ELDIEGO64	7,5	49	6,53	33	4,40
obi1 obi2 obi123	7,2	21	2,92	29	4,03			7	0,97	0	0,00
